loan_id,borrower_id,borrower_name,original_principal,current_balance,interest_rate,origination_date,maturity_date,loan_term_months,payment_status,days_past_due,property_state,loan_purpose,property_type,credit_score,ltv_ratio,dti_ratio,document_status,last_updated_at,source_system,servicer_name
LN-000001,BR-002234,Meera Menon,680317.92,415944.12,7.852,2026-02-15,2036-02-15,120,Current,0,CO,Refinance,Condo,709,0.7311,0.3464,Complete,2026-08-20T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000002,BR-000654,Manav Verma,237374.53,215096.79,6.196,2021-09-13,2051-09-14,360,Current,0,WI,CashOutRefi,SingleFamily,603,0.609,0.2756,Complete,2026-08-26T09:00:00Z,OriginationCore,MeridianServicing
LN-000003,BR-000323,Siddharth Joshi,505793.88,0.0,12.538,2021-04-03,2031-04-03,120,Closed,0,OR,Refinance,SingleFamily,591,0.7637,0.4206,Missing,2026-08-02T09:00:00Z,OriginationCore,ServicerX
LN-000004,BR-001456,Sneha Pillai,286277.56,203407.7,11.071,2022-02-22,2032-02-22,120,Current,0,RI,Refinance,Condo,621,0.6542,0.2445,Pending,2026-08-03T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000005,BR-000132,Ishita Malhotra,631922.11,563320.62,6.079,2023-12-11,2053-12-11,360,90+ Days,117,OR,CashOutRefi,Condo,747,0.6746,0.4596,Complete,2026-08-12T09:00:00Z,OriginationCore,ServicerX
LN-000006,BR-001755,Riya Malhotra,259633.38,172813.62,7.163,2024-11-03,2044-11-03,240,Current,0,NC,Construction,SingleFamily,773,0.4259,0.1884,Complete,2026-07-20T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000007,BR-002267,Priya Reddy,377052.21,285029.58,10.84,2025-09-10,2050-09-11,300,Current,0,WY,CashOutRefi,SingleFamily,655,0.6391,0.3088,Missing,2026-08-10T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000008,BR-001223,Kavya Trivedi,697667.87,416382.67,5.287,2020-10-16,2040-10-16,240,Current,0,WI,Refinance,SingleFamily,733,0.5783,0.1568,Pending,2026-07-17T09:00:00Z,OriginationCore,MeridianServicing
LN-000009,BR-001991,Meera Kulkarni,254740.85,148935.03,11.807,2025-10-03,2040-10-03,180,Current,0,TX,Construction,Condo,647,0.6902,0.3623,Missing,2026-07-11T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000010,BR-001850,Rahul Chauhan,389143.45,277967.12,5.584,2022-11-29,2037-11-29,180,Current,0,AK,Refinance,Condo,581,0.439,0.3709,,2026-07-24T09:00:00Z,OriginationCore,ServicerX
LN-000011,BR-000542,Riya Menon,487032.7,371889.59,8.436,2025-08-11,2045-08-11,240,Current,0,NE,Refinance,SingleFamily,604,0.7624,0.274,Complete,2026-07-23T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000012,BR-001019,Sneha Bose,101520.77,91598.2,9.167,2025-04-20,2035-04-20,120,30-59 Days,34,NV,Refinance,MultiFamily,698,0.5374,0.4731,Complete,2026-08-20T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000013,BR-000969,Vikram Sethi,604323.16,336301.88,8.585,2025-11-02,2035-11-02,120,Current,0,MT,Purchase,Condo,677,0.4012,0.2866,Pending,2026-08-21T09:00:00Z,OriginationCore,MeridianServicing
LN-000014,BR-001994,Ananya Bose,642102.78,574475.92,6.412,2021-08-30,2041-08-30,240,30-59 Days,31,PA,Purchase,MultiFamily,594,0.4276,0.3169,Pending,2026-07-15T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000015,BR-000279,Karan Malhotra,866662.07,547525.01,4.379,31/07/2024,2040-10-08,180,Current,0,PA,Purchase,SingleFamily,687,0.7616,0.3478,Complete,2026-07-19T09:00:00Z,OriginationCore,MeridianServicing
LN-000016,BR-001873,Ishita Nair,252883.06,213823.68,3.107,2022-11-19,2037-11-19,180,Current,0,CA,Refinance,MultiFamily,613,0.9133,0.4583,Pending,2026-08-07T09:00:00Z,OriginationCore,MeridianServicing
LN-000017,BR-002167,Priya Kulkarni,422456.89,288583.49,6.443,2024-08-20,2044-08-20,240,Current,0,FL,CashOutRefi,SingleFamily,807,0.4589,0.3436,Complete,2026-07-06T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000018,BR-001029,Arjun Nair,223057.72,148590.55,10.294,2022-07-24,2037-07-24,180,Current,0,AZ,Purchase,MultiFamily,777,0.472,0.4929,Complete,2026-07-26T09:00:00Z,OriginationCore,MeridianServicing
LN-000019,BR-000611,Siddharth Iyer,526770.84,508767.08,12.598,2021-08-11,2051-08-12,360,Current,0,NV,Refinance,SingleFamily,658,0.6006,0.4766,Missing,2026-07-13T09:00:00Z,OriginationCore,ServicerX
LN-000020,BR-001665,Aman Kapoor,629756.69,444368.03,13.646,2024-01-19,2044-01-19,240,Current,0,HI,Refinance,Townhouse,586,0.4986,0.4736,,2026-07-22T09:00:00Z,OriginationCore,MeridianServicing
LN-000021,BR-001928,Karan Bose,185318.17,133117.44,12.391,2023-06-01,2038-06-01,180,activ,44,MN,CashOutRefi,Condo,637,0.413,0.2176,Complete,2026-08-24T09:00:00Z,OriginationCore,ServicerX
LN-000022,BR-001357,Priya Reddy,595259.48,584369.72,13.086,2022-06-20,2042-06-20,240,Current,0,ID,CashOutRefi,SingleFamily,607,0.7281,0.271,Complete,2026-07-23T09:00:00Z,OriginationCore,MeridianServicing
LN-000023,BR-001787,Priya Desai,148298.92,93967.34,13.644,2020-09-02,2050-09-03,360,Default,318,UT,Refinance,MultiFamily,690,0.4385,0.3825,Complete,2026-08-24T09:00:00Z,OriginationCore,MeridianServicing
LN-000024,BR-001212,Siddharth Kapoor,481054.13,333620.89,5.206,2023-01-14,2033-01-13,120,Current,0,UT,Refinance,MultiFamily,683,0.7014,0.1501,Complete,2026-07-13T09:00:00Z,OriginationCore,MeridianServicing
LN-000025,BR-000696,Meera Joshi,445239.96,286747.28,8.928,2022-10-17,2052-10-17,360,Current,0,CO,Refinance,MultiFamily,637,0.8436,0.2016,Complete,2026-07-27T09:00:00Z,OriginationCore,MeridianServicing
LN-000026,BR-001573,Dev Malhotra,437103.74,351123.33,5.806,2025-08-03,2055-08-04,360,Default,348,VT,Purchase,SingleFamily,779,0.6338,0.2116,Missing,2026-07-12T09:00:00Z,OriginationCore,AtlasLoanCare
LN-000027,BR-001870,Ananya Gupta,523794.92,0.0,10.677,2025-11-04,2050-11-05,300,Paid Off,0,WI,Construction,Townhouse,792,0.8988,0.3061,Complete,2026-08-19T09:00:00Z,OriginationCore,MeridianServicing
LN-000028,BR-002136,Dev Chauhan,689010.27,463026.61,6.158,2023-07-02,2048-07-02,300,90+ Days,99,VA,CashOutRefi,Condo,649,0.5847,0.4626,Complete,2026-07-08T09:00:00Z,OriginationCore,ServicerX
LN-000029,BR-001356,Siddharth Gupta,639857.34,370004.35,7.781,2022-02-10,2037-02-10,180,30-59 Days,36,NE,Construction,SingleFamily,799,0.8844,0.3515,Complete,2026-07-31T09:00:00Z,OriginationCore,MeridianServicing
LN-000030,BR-002205,Siddharth Trivedi,775430.76,0.0,13.325,2022-01-12,2042-01-12,240,Paid Off,0,IA,CashOutRefi,Townhouse,704,0.416,0.2676,Complete,2026-07-31T09:00:00Z,OriginationCore,MeridianServicing
LN-000031,BR-000111,Nisha Menon,831610.38,0.0,9.491,07-31-2024,2036-03-01,180,Closed,0,CO,Construction,Condo,801,0.6539,0.1676,Complete,2026-07-23T09:00:00Z,OriginationCore,ServicerX
LN-000032,BR-001727,Divya Nair,336875.47,24350.2,8.409,2022-09-28,2047-09-29,300,Closed,0,OH,Purchase,MultiFamily,637,0.7576,0.4234,Complete,2026-07-04T09:00:00Z,OriginationCore,ServicerX
LN-000033,BR-000469,Riya Bose,763344.52,499959.95,8.348,2024-03-03,2039-03-04,180,Current,0,WY,CashOutRefi,Condo,735,0.734,0.4118,Complete,2026-07-27T09:00:00Z,OriginationCore,ServicerX
LN-000034,BR-001538,Nisha Bose,541882.02,0.0,3.874,2025-03-12,2045-03-12,240,Paid Off,0,CT,CashOutRefi,SingleFamily,783,0.9411,0.4239,Complete,2026-07-21T09:00:00Z,OriginationCore,MeridianServicing
